"행정구역별(시군구)","성별","연령별","시점",일반가구원,가구주,가구주의 배우자,자녀,자녀의 배우자,가구주의 부모,배우자의 부모,손자녀 그 배우자,친손자녀·그 배우자,외손자녀·그 배우자,증손자녀·그 배우자,조부모,형제자매·그 배우자,형제자매의 자녀·그 배우자,부모의 형제자매·그 배우자,기타 친·인척,기타 동거인
"전국","계","65~69세","2015",2103674,1224447,623552,6139,1374,165869,38567,-,X,X,X,705,15314,150,2279,2502,22776
"전국","계","65~69세","2016",2167736,1265196,643679,6663,1396,164905,37914,-,X,X,X,694,16962,145,2417,2469,25296
"전국","계","65~69세","2017",2266611,1323036,681975,7160,1520,163067,36746,-,X,X,X,694,18893,152,2641,2668,28059
"전국","계","65~69세","2018",2318804,1351995,705869,7545,1577,160132,34900,-,X,X,X,703,20215,160,2928,2647,30132
"전국","계","65~69세","2019",2430488,1417761,746152,8662,1728,157417,33431,-,X,X,X,673,22559,182,3243,2820,35860
"전국","계","65~69세","2020",2660010,1558102,825721,9577,1864,161559,30982,X,-,-,X,676,25014,192,3756,2859,39708
"전국","계","65~69세","2021",2902348,1705565,897547,10959,2014,173153,30433,X,-,-,X,711,28372,218,4532,3102,45742
"전국","계","65~69세","2022",3066136,1810130,945896,13030,2194,174898,28874,X,-,-,X,588,31787,267,5155,3242,50075
"전국","계","65~69세","2023",3285735,1954239,1002014,15050,2495,181806,28764,X,-,-,X,503,36863,310,5725,3585,54381
"전국","계","65~69세","2024",3492058,2085258,1067221,16984,2778,183605,26694,X,-,-,X,450,40749,369,6067,3769,58114
"전국","계","70~74세","2015",1742546,1034451,431158,1309,420,200406,41623,-,X,X,X,3268,7245,52,1405,1942,19267
"전국","계","70~74세","2016",1719775,1028246,428838,1333,302,188179,39753,-,X,X,X,2965,7911,55,1445,1816,18932
"전국","계","70~74세","2017",1726140,1033900,442837,1588,310,175827,37136,-,X,X,X,2701,8892,69,1547,1916,19417
"전국","계","70~74세","2018",1796606,1079605,469212,1830,358,172477,35993,-,X,X,X,2552,9859,92,1747,2002,20879
"전국","계","70~74세","2019",1888139,1138807,500462,2065,386,169597,34802,-,X,X,X,2518,10830,100,1963,2104,24505
"전국","계","70~74세","2020",1980075,1201089,532758,2170,411,167697,31909,X,-,-,X,2617,11329,92,2173,1998,25832
"전국","계","70~74세","2021",2042154,1241650,554763,2236,437,165704,30313,X,-,-,X,2807,11859,112,2405,2111,27757
"전국","계","70~74세","2022",2145118,1305711,592554,2574,546,163869,29101,X,-,-,X,2537,13584,113,2675,2258,29596
"전국","계","70~74세","2023",2202791,1345045,611739,2783,586,160553,28176,X,-,-,X,2086,15522,126,2956,2346,30873
"전국","계","70~74세","2024",2313594,1418703,648909,3157,635,157521,26716,X,-,-,X,1677,17379,152,3195,2493,33057
"전국","계","75~79세","2015",1327847,792336,242626,264,135,220090,41423,-,X,X,X,9022,3228,22,892,1495,16314
"전국","계","75~79세","2016",1389176,837249,261471,182,74,218054,41425,-,X,X,X,8138,3664,25,922,1444,16528
"전국","계","75~79세","2017",1498779,913109,291991,176,76,219247,41532,-,X,X,X,8342,4234,28,1012,1664,17368
